iter	TotalF1:average=Macro	MultiClass
81	0.7125066515	0.9183889089
82	0.711707786	0.915148717
83	0.7167316714	0.9064347487
84	0.7180755365	0.9042767718
85	0.7181925465	0.9013575507
86	0.7205558778	0.8969168909
87	0.7251120829	0.8902596004
88	0.7290880895	0.8802708604
89	0.7308656268	0.875416327
90	0.7411058928	0.868368131
91	0.7490184581	0.8595476038
92	0.7497287676	0.8531713648
93	0.7512857147	0.843279069
94	0.7593551271	0.8362281801
95	0.7590221239	0.831725731
96	0.7588740115	0.8264827419
97	0.7714602147	0.8196330997
98	0.7697066734	0.8156331368
99	0.7722643255	0.8082690626
100	0.7701229139	0.8030871242
101	0.7769140875	0.7962693827
102	0.779786796	0.7899180229
103	0.7782806663	0.7860837321
104	0.7778380239	0.7826460604
105	0.7823207626	0.7773580198
106	0.7732258612	0.7713527903
107	0.7870879237	0.7664883162
108	0.78337858	0.7620730419
109	0.787457358	0.7593376349
110	0.7943964729	0.7554560857
111	0.8007691187	0.7509636486
112	0.8061816278	0.7461549498
113	0.8016398883	0.7436023079
114	0.8039260082	0.7355574517
115	0.8027614055	0.7329208577
116	0.8023531544	0.7289155602
117	0.8090137452	0.7216186329
118	0.8143524903	0.7178481788
119	0.8156901789	0.7137305442
120	0.8157287517	0.7085766078
121	0.8187094718	0.7040193725
122	0.8215826447	0.6983882426
123	0.8234524032	0.6938763169
124	0.8224225334	0.6895637051
125	0.82459753	0.6877479029
126	0.823326267	0.6854910736
127	0.8242960029	0.682409263
128	0.8272640096	0.6775248568
129	0.8303590969	0.6729673644
130	0.8295965193	0.6715445806
131	0.8303798682	0.6668847897
132	0.8318649805	0.6624624676
133	0.8373034051	0.659456031
134	0.8365424786	0.6552142676
135	0.8389206715	0.6525601896
136	0.8389422882	0.648341911
137	0.8399580131	0.6455250077
138	0.8440185053	0.6436516528
139	0.8467093122	0.6401781696
140	0.8452016083	0.6359724005
141	0.8456625294	0.633793918
142	0.846457835	0.6311229437
143	0.8478890789	0.6287100133
144	0.850922037	0.6241455905
145	0.851443599	0.6206043324
146	0.8510824152	0.6143400733
147	0.8524008295	0.6110969077
148	0.8571227872	0.6075721895
149	0.8591727671	0.6037696299
150	0.8614521677	0.6013544684
151	0.8615839113	0.5981713117
152	0.8633676074	0.5959821611
153	0.8641678129	0.5939057156
154	0.8675973237	0.587948978
155	0.8675973237	0.5851373668
156	0.8701464493	0.5823713922
157	0.8711967356	0.5797811399
158	0.8719428779	0.5764780582
159	0.874924655	0.5729010551
160	0.876887788	0.5692522913
161	0.8769126031	0.5664637299
162	0.8788359533	0.5630396618
163	0.877805451	0.5590898007
164	0.8797888008	0.5569032605
165	0.8807019083	0.5552817544
166	0.8823031424	0.5527862102
167	0.8809525827	0.5498187752
168	0.8809310757	0.5479623104
169	0.8851745225	0.5440200561
170	0.8846688509	0.5420951623
171	0.886169075	0.538272015
172	0.8851548512	0.5366800095
173	0.8875712183	0.5340083719
174	0.8886568479	0.5322319841
175	0.887837494	0.5303601182
176	0.887000583	0.5286645322
177	0.8883716335	0.5244709533
178	0.8900587384	0.5227131672
179	0.8910591562	0.519257031
180	0.8914815006	0.5175064021
181	0.8928730715	0.5158962286
182	0.8920383742	0.5136515338
183	0.892957041	0.5118069012
184	0.8940397424	0.5098535386
185	0.8948021993	0.5077097307
186	0.8945345292	0.5059494628
187	0.8960594678	0.5022392801
188	0.8980103262	0.4984537719
189	0.8972199235	0.4977999965
190	0.8966866428	0.4963513108
191	0.8993371218	0.4947789919
192	0.8985715947	0.4936236561
193	0.8998707441	0.4899085445
194	0.8999125058	0.4885466866
195	0.9025304646	0.4863340332
196	0.9014603854	0.4852845558
197	0.9022413662	0.4831778786
198	0.9071106451	0.4809533137
199	0.9081255834	0.4787631601
200	0.9081429121	0.4771446035
201	0.9086643555	0.4755233552
202	0.9097098337	0.4744832883
203	0.9101985	0.4719953786
204	0.9093026325	0.4702612467
205	0.9143269294	0.4675162161
206	0.9133234702	0.4650135917
207	0.9140741474	0.4628764068
208	0.9145617036	0.4608456846
209	0.9143957258	0.4598860098
210	0.9150268096	0.4574610514
211	0.9173021093	0.455429355
212	0.9184541236	0.4526996178
213	0.9195533539	0.4503227313
214	0.9190422981	0.4490647413
215	0.9201716326	0.4461774452
216	0.9212056822	0.4450315961
217	0.9218479515	0.4435004701
218	0.9226873925	0.441743714
219	0.9231926437	0.4391579934
220	0.923445207	0.4365876326
221	0.923445207	0.4350456142
222	0.9252655813	0.4328229767
223	0.9244413	0.4316026068
224	0.9258411149	0.4304583797
225	0.9250920595	0.4298757502
226	0.9293010054	0.4270723492
227	0.9259180367	0.4250218819
228	0.9287836332	0.4231167688
229	0.9301013643	0.4204094487
230	0.9316436882	0.4194693985
231	0.9296769772	0.4177638051
232	0.9337286936	0.4152684551
233	0.9337286936	0.4147320278
234	0.9312659383	0.4135915101
235	0.9317774591	0.411922622
236	0.9339660861	0.4112127127
237	0.9350885397	0.4100128912
238	0.9339205302	0.4093747894
239	0.9342947737	0.407958497
240	0.9338652752	0.4063311052
241	0.9353804779	0.4037417971
242	0.9346154646	0.4025550082
243	0.9366744388	0.4007870166
244	0.937092774	0.398163968
245	0.9384721529	0.3964412292
246	0.9377070211	0.3948381875
247	0.9377445061	0.3936735705
248	0.9407799433	0.3921156327
249	0.9399928775	0.3902697928
250	0.9399928775	0.3889601235
251	0.941545613	0.3873087352
252	0.941545613	0.3851904654
253	0.94153878	0.3842576827
254	0.942324858	0.3827282479
255	0.942324858	0.3814143134
256	0.942331691	0.3788081044
257	0.9428200935	0.3775112033
258	0.9428200935	0.3768045547
259	0.9428200935	0.3751599075
260	0.9433297118	0.3736108028
261	0.9438248029	0.3720416043
262	0.9438248029	0.3702438372
263	0.9438248029	0.3690190308
264	0.9445959626	0.3680387345
265	0.9440796791	0.3661900353
266	0.9443345168	0.3644362225
267	0.9440796791	0.3631473504
268	0.9443345168	0.3617982111
269	0.945129743	0.3605202268
270	0.9443432881	0.3597946743
271	0.9470912999	0.3578628238
272	0.9485613915	0.356062345
273	0.9538310855	0.3540407868
274	0.9538310855	0.3531850181
275	0.9538310855	0.3518691836
276	0.9540891422	0.3512225069
277	0.9540891422	0.3501626944
278	0.9551089874	0.348968523
279	0.9551089874	0.3475844065
280	0.9540891422	0.3468738972
281	0.9551089874	0.345938071
282	0.9551089874	0.3446564311
283	0.9546262189	0.343097103
284	0.9546262189	0.3423138109
285	0.9546262189	0.3408593801
286	0.9541222671	0.3397625243
287	0.9538646801	0.3389178092
288	0.9548838419	0.3375981589
289	0.9557040557	0.3363019238
290	0.9557040557	0.3353269632
291	0.9551999489	0.3337433935
292	0.9551999489	0.3329646749
293	0.9559616466	0.3321065345
294	0.9559616466	0.3308095636
295	0.9562192061	0.3294303811
296	0.9559029477	0.3282844202
297	0.9559616466	0.3273892938
298	0.9559359924	0.3262341707
299	0.9561940186	0.3250285078
300	0.9572704914	0.3240529836
301	0.9572704914	0.3225385853
302	0.9564468262	0.3215394098
303	0.9575233934	0.3211328148
304	0.9572652745	0.3197388579
305	0.9575284585	0.3185501536
306	0.9575358037	0.3169109959
307	0.9572778366	0.3163164087
308	0.9577937422	0.3150430879
309	0.9583297579	0.3140554758
310	0.9588465521	0.3122964191
311	0.9595754642	0.3108189847
312	0.9608342554	0.3095365509
313	0.9608342554	0.30848264
314	0.9605687739	0.307399783
315	0.9608269102	0.3063072548
316	0.9623837238	0.3049296996
317	0.9621324313	0.3041002454
318	0.9621324313	0.3031593226
319	0.9637421905	0.3026035981
320	0.9639845932	0.3017113522
321	0.9637254448	0.30145919
322	0.9639894812	0.3008768796
323	0.9642437159	0.3003079554
324	0.965298468	0.2995978341
325	0.9664323821	0.2987928369
326	0.9662224562	0.2980572092
327	0.9666919843	0.2970647845
328	0.9658958487	0.2963129254
329	0.9661727559	0.2957799742
330	0.9661727559	0.2951041709
331	0.9658958487	0.2939114729
332	0.9658958487	0.2933902322
333	0.9677320088	0.2923064697
334	0.966159215	0.2911950973
335	0.9669711628	0.2903669396
336	0.9662102415	0.2893781116
337	0.9669582676	0.2879619442
338	0.966159215	0.2871766065
339	0.9679909517	0.2860004994
340	0.9685294214	0.2847518588
341	0.9687883953	0.283348193
342	0.9685294214	0.2825220082
343	0.9685294214	0.2820976051
344	0.9679780876	0.280414014
345	0.9677191136	0.2793729429
346	0.9677191136	0.2786487644
347	0.9687883953	0.2782932077
348	0.9698575227	0.2777354578
349	0.9687883953	0.2773811717
350	0.9693062719	0.2767037919
351	0.9688143377	0.2761915067
352	0.9699663604	0.2754741416
353	0.9723624377	0.2744341533
354	0.9710354663	0.2731753876
355	0.9710354663	0.2728259275
356	0.9720886568	0.2721685428
357	0.9728971384	0.271640776
358	0.9736879257	0.2702301939
359	0.9717288516	0.2695515904
360	0.9728769551	0.2686606617
361	0.9726174724	0.2681042394
362	0.9728769551	0.2671078539
363	0.9720700509	0.2663637687
364	0.9720700509	0.2658067396
365	0.9733586307	0.2647897904
366	0.9738777291	0.2642527665
367	0.9738777291	0.2638504917
368	0.9754021627	0.2628867035
369	0.9754474327	0.2621322713
370	0.9770064644	0.2618166765
371	0.9770064644	0.2603597485
372	0.9770064644	0.2597172603
373	0.9777665198	0.2593174976
374	0.9777665198	0.2581939848
375	0.9777665198	0.2574151232
376	0.9770064644	0.2567920096
377	0.9770064644	0.2563169141
378	0.9770064644	0.2560665592
379	0.9770064644	0.2551225617
380	0.9770064644	0.2545084272
381	0.9777665198	0.2535605168
382	0.9777587793	0.2528019898
383	0.9777665198	0.251784577
384	0.978026124	0.2513973946
385	0.9787770283	0.2507052084
386	0.9779816771	0.2499821083
387	0.9787770283	0.2493668266
388	0.9780184069	0.2484120738
389	0.9780184069	0.2478051005
390	0.9788136409	0.2472819697
391	0.9788136409	0.2463587301
392	0.9788136409	0.244754761
393	0.9795674111	0.2440870949
394	0.9795674111	0.2429799112
395	0.9795674111	0.2420141033
396	0.9788136409	0.2414960497
397	0.9795674111	0.2403684231
398	0.9803246171	0.2396079681
399	0.9800867297	0.2390170479
400	0.9808439693	0.2380699414
401	0.9808439693	0.2372989935
402	0.9810847251	0.2368238937
403	0.9821234095	0.2359896135
404	0.9821234095	0.2353093942
405	0.9821234095	0.2346876462
406	0.9816041089	0.234087798
407	0.9818637693	0.233077394
408	0.9823830302	0.2324092049
409	0.982642632	0.2317934687
410	0.9823864597	0.2309665609
411	0.9823864597	0.2308209915
412	0.9834376228	0.2301832598
413	0.9821269971	0.229391026
414	0.9831747413	0.2289592165
415	0.9831776881	0.2282595735
416	0.9829177352	0.2276696473
417	0.9831747413	0.2272646374
418	0.9831747413	0.2269872902
419	0.9831747413	0.2266170331
420	0.9834348353	0.2258788293
421	0.9831747413	0.2250085734
422	0.983694912	0.2243064248
423	0.9834348353	0.2236367276
424	0.9831747413	0.2231577842
425	0.9834348353	0.2227897708
426	0.9834348353	0.2225325726
427	0.9834348353	0.221846857
428	0.9836975399	0.2212391652
429	0.9836975399	0.2207117834
430	0.9836975399	0.2201495285
431	0.9839528287	0.219081816
432	0.9839528287	0.2182568336
433	0.9839528287	0.2173222257
434	0.9839528287	0.2169027562
435	0.9839528287	0.2160449783
436	0.9839549721	0.215184154
437	0.9839549721	0.2149897764
438	0.9839549721	0.2142952607
439	0.9839549721	0.2137277692
440	0.9839549721	0.2131517445
441	0.9839549721	0.2122468683
442	0.984710892	0.2114255705
443	0.984710892	0.2109223209
444	0.984710892	0.2104909649
445	0.984710892	0.2097650584
446	0.9839549721	0.2090776013
447	0.984710892	0.2083384573
448	0.9847082793	0.2075955997
449	0.9847082793	0.2071008303
450	0.984710892	0.2064342141
451	0.984710892	0.2058520183
452	0.9847082793	0.2051097596
453	0.9847082793	0.2046360997
454	0.9847082793	0.2042209728
455	0.9847082793	0.2035240944
456	0.9847082793	0.2029793777
457	0.9847082793	0.2026735791
458	0.9847082793	0.2021511338
459	0.9847082793	0.2019556269
460	0.9847082793	0.2015111112
461	0.9847082793	0.2009023284
462	0.9849684956	0.200285264
463	0.9849684956	0.1996901912
464	0.9847082793	0.1992202587
465	0.9849684956	0.1987525263
466	0.9852286966	0.1978837608
467	0.9852286966	0.1973468174
468	0.9857637482	0.196895169
469	0.9857637482	0.1963617141
470	0.9860239674	0.1954344768
471	0.9862874653	0.1950698337
472	0.9862874653	0.1945867442
473	0.9862874653	0.1939710675
474	0.9862874653	0.193544365
475	0.9862874653	0.1931167509
476	0.9862874653	0.1924853214
477	0.9865474939	0.1918745001
478	0.9865474939	0.1915489084
479	0.9868075086	0.191030292
480	0.9868075086	0.1906693904
481	0.9868075086	0.1898973601
482	0.9868075086	0.1897073597
483	0.9868075086	0.189606782
484	0.9868075086	0.1892079664
485	0.9868075086	0.1888466221
486	0.9868094852	0.1882381162
487	0.987069325	0.1877863987
488	0.9868094852	0.1872565255
489	0.987069325	0.1867563137
490	0.987069325	0.1863271721
491	0.987069325	0.1858012496
492	0.987069325	0.185431935
493	0.987069325	0.1851602372
494	0.987069325	0.1845458971
495	0.987069325	0.1842263819
496	0.987069325	0.1834818248
497	0.987069325	0.1831423315
498	0.9873322892	0.182801231
499	0.9873322892	0.18241103
