date,temperature_avg,humidity_avg,sunshine_hours,consumption_kWh
2019-07-17,20.0,60.2,13.8,4.17
2019-07-18,20.6,58.5,9.8,4.17
2019-07-19,21.8,62.4,12.2,4.26
2019-07-20,23.2,58.9,11.7,4.08
2019-07-21,22.5,72.5,7.1,4.45
2019-07-22,23.2,65.6,10.9,4.4
2019-07-23,24.1,61.6,14.4,4.28
2019-07-24,26.0,57.0,14.1,3.54
2019-07-25,26.2,59.1,11.0,4.25
2019-07-26,26.5,55.4,10.4,4.3
2019-07-27,21.1,75.1,4.2,5.0
2019-07-28,17.1,91.4,0.0,5.37
2019-07-29,19.3,74.3,5.5,5.27
2019-07-30,21.6,65.0,13.0,3.7
2019-07-31,18.8,73.5,4.5,4.95
2019-08-01,20.2,61.3,11.6,4.41
2019-08-02,18.0,76.0,2.5,4.67
2019-08-03,19.8,64.2,11.6,6.28
2019-08-04,19.9,65.5,12.9,5.46
2019-08-05,23.3,64.4,7.1,4.92
2019-08-06,20.2,83.8,2.2,38.71
2019-08-07,18.4,89.2,0.7,8.12
2019-08-08,20.1,73.9,10.2,5.16
2019-08-09,24.0,67.2,10.5,6.93
2019-08-10,19.6,83.2,3.8,7.08
2019-08-11,19.8,78.2,9.0,13.77
2019-08-12,16.3,85.8,0.5,6.76
2019-08-13,15.9,71.8,2.1,10.89
2019-08-14,16.1,67.8,12.0,4.04
2019-08-15,16.2,79.2,4.1,4.23
2019-08-16,17.9,69.9,12.4,4.9
2019-08-17,19.2,73.8,0.1,46.97
2019-08-18,22.8,67.1,12.4,5.23
2019-08-19,18.8,84.8,1.5,5.88
2019-08-20,15.4,92.1,0.0,15.86
2019-08-21,15.9,76.3,2.0,28.45
2019-08-22,15.1,84.9,3.7,21.74
2019-08-23,16.2,84.3,1.9,6.07
2019-08-24,17.8,82.5,7.3,5.78
2019-08-25,19.5,74.4,12.6,4.82
2019-08-26,20.1,73.9,12.7,6.75
2019-08-27,21.5,72.2,11.5,5.78
2019-08-28,23.6,67.0,6.4,4.24
2019-08-29,21.2,74.9,6.1,5.39
2019-08-30,21.1,75.2,12.5,3.97
2019-08-31,21.4,74.7,9.8,7.03
2019-09-01,19.8,75.1,1.9,7.35
2019-09-02,15.7,83.1,0.0,32.35
2019-09-03,14.4,77.0,7.9,10.56
2019-09-04,16.4,73.1,12.3,3.93
2019-09-05,13.5,83.0,1.7,3.81
2019-09-06,13.3,83.2,0.0,4.11
2019-09-07,14.5,76.0,2.4,3.72
2019-09-08,11.2,89.3,0.0,3.74
2019-09-09,12.3,76.4,6.3,3.93
2019-09-10,14.1,75.5,10.3,3.68
2019-09-11,14.8,77.0,7.1,3.42
2019-09-12,16.4,73.6,12.0,3.22
2019-09-13,17.4,76.8,11.9,3.72
2019-09-14,18.0,82.4,7.3,3.72
2019-09-15,18.5,82.3,9.1,3.4
2019-09-16,19.8,76.7,10.7,3.9
2019-09-17,18.4,68.6,9.0,3.66
2019-09-18,14.5,60.4,7.1,3.68
2019-09-19,12.3,56.6,11.0,8.0
2019-09-20,11.4,63.2,11.1,7.19
2019-09-21,13.1,76.3,11.0,45.05
2019-09-22,17.0,78.2,6.1,7.78
2019-09-23,13.7,87.5,2.5,10.02
2019-09-24,12.6,88.7,0.0,9.18
2019-09-25,15.0,80.8,3.3,33.25
2019-09-26,15.4,87.6,0.0,34.72
2019-09-27,17.3,79.1,7.1,7.04
2019-09-28,14.9,75.8,5.4,9.83
2019-09-29,16.8,63.5,9.4,9.28
2019-09-30,15.1,73.0,8.3,7.96
2019-10-01,15.0,78.2,9.2,8.16
2019-10-02,12.5,85.2,1.2,31.35
2019-10-03,8.5,81.3,8.6,10.78
2019-10-04,9.8,86.1,0.0,35.51
2019-10-05,12.0,87.4,0.2,24.82
2019-10-06,11.6,89.5,0.0,12.05
2019-10-07,10.4,82.9,2.9,28.49
2019-10-08,13.4,76.8,2.9,17.22
2019-10-09,11.6,89.3,0.0,12.07
2019-10-10,10.8,79.2,3.7,25.5
2019-10-11,10.3,80.5,9.8,12.51
2019-10-12,13.7,76.2,8.1,9.97
2019-10-13,15.3,76.2,8.6,9.23
2019-10-14,13.9,85.4,9.1,10.25
2019-10-15,11.5,89.4,0.6,24.3
2019-10-16,10.3,79.8,9.6,14.95
2019-10-17,12.5,79.3,7.0,10.42
2019-10-18,12.9,90.9,1.2,29.21
2019-10-19,12.3,93.3,0.8,16.85
2019-10-20,11.3,94.5,0.9,12.79
2019-10-21,12.9,91.9,0.1,25.36
2019-10-22,12.9,92.3,0.0,20.91
2019-10-23,12.4,90.5,2.2,26.42
2019-10-24,13.2,88.5,0.0,24.71
2019-10-25,12.0,87.4,5.4,11.67
2019-10-26,10.4,91.4,5.3,15.37
2019-10-27,12.5,85.3,7.1,15.08
2019-10-28,10.6,95.9,0.0,34.65
2019-10-29,7.4,94.4,0.0,28.6
2019-10-30,6.8,93.9,0.0,18.82
2019-10-31,6.7,94.8,0.0,24.26
2019-11-01,9.9,92.7,0.0,32.09
2019-11-02,13.3,83.8,1.0,17.12
2019-11-03,10.0,89.6,0.0,27.67
2019-11-04,10.6,76.8,2.0,15.43
2019-11-05,8.1,87.1,1.8,29.76
2019-11-06,7.3,84.8,0.6,16.89
2019-11-07,5.8,87.1,0.4,28.51
2019-11-08,4.1,93.5,0.0,43.27
2019-11-09,3.7,92.7,0.6,21.33
2019-11-10,2.2,92.1,0.4,28.18
2019-11-11,3.8,82.1,2.7,33.65
2019-11-12,4.5,78.7,6.4,35.18
2019-11-13,2.7,82.9,1.2,20.65
2019-11-14,1.6,85.2,2.9,24.33
2019-11-15,3.4,84.4,0.6,40.27
2019-11-16,2.3,90.1,5.3,22.66
2019-11-17,3.2,92.5,0.0,25.87
2019-11-18,3.9,79.5,1.3,32.09
2019-11-19,2.2,88.1,3.4,39.06
2019-11-20,4.6,83.1,0.0,29.28
2019-11-21,4.0,87.7,0.0,28.62
2019-11-22,4.2,87.1,0.7,18.24
2019-11-23,3.6,89.9,0.0,43.57
2019-11-24,4.8,91.3,0.0,25.66
2019-11-25,6.1,93.2,0.0,30.38
2019-11-26,6.2,94.1,1.2,27.82
2019-11-27,8.7,80.0,3.2,16.46
2019-11-28,8.7,77.2,0.0,28.13
2019-11-29,6.9,85.8,0.0,41.81
2019-11-30,3.4,83.1,3.1,31.36
2019-12-01,2.0,87.8,0.0,25.59
2019-12-02,2.0,81.7,0.0,25.1
2019-12-03,-0.4,79.9,7.7,40.62
2019-12-04,-1.0,87.8,0.0,25.64
2019-12-05,0.2,92.6,0.0,35.67
2019-12-06,1.8,85.0,5.6,41.91
2019-12-07,6.7,78.9,1.9,19.45
2019-12-08,7.9,73.1,4.2,32.19
2019-12-09,6.2,78.5,0.4,41.08
2019-12-10,1.9,78.5,5.6,29.71
2019-12-11,-0.1,89.8,0.0,44.32
2019-12-12,1.5,87.6,1.5,28.19
2019-12-13,2.8,83.3,0.4,26.29
2019-12-14,7.0,74.4,2.6,45.5
2019-12-15,10.0,70.4,0.6,19.67
2019-12-16,3.2,92.2,1.8,29.27
2019-12-17,3.5,94.6,0.3,27.71
2019-12-18,5.1,92.1,2.1,23.98
2019-12-19,3.3,96.0,2.0,27.36
2019-12-20,4.5,91.0,0.0,36.04
2019-12-21,5.0,92.2,0.7,24.2
2019-12-22,5.8,86.8,0.0,31.0
2019-12-23,5.4,86.5,0.0,25.39
2019-12-24,5.8,86.1,0.0,41.61
2019-12-25,6.2,84.6,0.7,24.13
2019-12-26,3.2,91.0,0.0,32.86
2019-12-27,5.7,93.4,0.1,29.24
2019-12-28,2.6,86.4,0.1,45.9
2019-12-29,-0.6,86.6,2.8,24.43
2019-12-30,-0.8,91.2,1.9,36.04
2019-12-31,-0.5,96.1,0.0,4.95
2020-01-01,-1.1,95.3,0.0,4.66
2020-01-02,-0.6,92.5,0.0,4.53
2020-01-03,3.2,89.2,1.9,4.55
2020-01-04,5.2,82.2,0.0,4.62
2020-01-05,1.4,86.5,7.7,4.05
2020-01-06,-0.5,96.1,3.5,5.18
2020-01-07,1.8,91.0,0.7,4.51
2020-01-08,2.3,87.5,2.2,38.72
2020-01-09,4.6,68.7,7.2,51.47
2020-01-10,7.8,67.9,4.0,43.72
2020-01-11,3.3,89.5,1.2,45.14
2020-01-12,0.7,90.7,5.2,43.46
2020-01-13,0.0,88.8,1.7,25.53
2020-01-14,2.8,72.2,6.6,34.78
2020-01-15,5.3,67.9,7.1,29.66
2020-01-16,4.7,76.0,7.8,49.43
2020-01-17,2.9,89.0,1.2,44.49
2020-01-18,3.4,82.1,3.2,22.55
